EMP_ID|LAST_NAME|FIRST_NAME|TIME-IN|TIME-OUT|DATE_ATTENDED
10001|Crisostomo|Jose|08:00|17:00|01/09/2022
10002|Mata|Christian|08:00|17:00|01/09/2022
10003|San Jose|Brad |08:00|17:00|01/09/2022
10004|Salcedo|Anthony|08:00|17:00|01/09/2022
10005|Romualdez|Alice|08:00|17:00|01/09/2022
10006|Atienza|Rosie |08:00|17:00|01/09/2022
10007|Farala|Martha|08:27|17:00|01/09/2022
10008|Martinez|Leila|08:01|17:00|01/09/2022
10009|San Jose|Allison |08:05|17:00|01/09/2022
10010|Rosario|Cydney |08:00|17:00|01/09/2022
10011|Lopez|Josie |08:00|17:00|01/09/2022
10012|De Leon|Selena |08:00|17:00|01/09/2022
10013|Romualdez|Fredrick |08:00|17:00|01/09/2022
10014|Bautista|Mark |08:00|17:00|01/09/2022
10015|Lazaro|Darlene |08:00|17:00|01/09/2022
10016|Delos Santos|Kolby |08:28|17:00|01/09/2022
10017|Santos|Vella |08:00|17:00|01/09/2022
10018|Del Rosario|Tomas|08:00|17:00|01/09/2022
10019|Tolentino|Jacklyn |08:00|17:00|01/09/2022
10020|Gutierrez|Percival |08:00|17:00|01/09/2022
10021|Manalaysay|Garfield |08:11|17:00|01/09/2022
10022|Villegas|Lizeth |08:00|17:00|01/09/2022
10023|Ramos|Carol |08:00|17:00|01/09/2022
10024|Maceda|Emelia |08:21|17:00|01/09/2022
10025|Aguilar|Delia |08:00|17:00|01/09/2022
10001|Crisostomo|Jose|08:00|17:00|02/09/2022
10002|Mata|Christian|08:00|17:00|02/09/2022
10003|San Jose|Brad |08:00|17:00|02/09/2022
10004|Salcedo|Anthony|08:00|17:00|02/09/2022
10005|Romualdez|Alice|08:00|17:00|02/09/2022
10006|Atienza|Rosie |08:00|17:00|02/09/2022
10007|Farala|Martha|08:00|17:00|02/09/2022
10008|Martinez|Leila|08:00|17:00|02/09/2022
10009|San Jose|Allison |08:00|17:00|02/09/2022
10010|Rosario|Cydney |08:00|17:00|02/09/2022
10011|Lopez|Josie |08:00|17:00|02/09/2022
10012|De Leon|Selena |08:00|17:00|02/09/2022
10013|Romualdez|Fredrick |08:00|17:00|02/09/2022
10014|Bautista|Mark |08:00|17:00|02/09/2022
10015|Lazaro|Darlene |08:00|17:00|02/09/2022
10016|Delos Santos|Kolby |08:00|17:00|02/09/2022
10017|Santos|Vella |08:00|17:00|02/09/2022
10018|Del Rosario|Tomas|08:00|17:00|02/09/2022
10019|Tolentino|Jacklyn |08:00|17:00|02/09/2022
10020|Gutierrez|Percival |08:00|17:00|02/09/2022
10021|Manalaysay|Garfield |08:00|17:00|02/09/2022
10022|Villegas|Lizeth |08:00|17:00|02/09/2022
10023|Ramos|Carol |08:00|17:00|02/09/2022
10024|Maceda|Emelia |08:00|17:00|02/09/2022
10025|Aguilar|Delia |08:00|17:00|02/09/2022
10001|Crisostomo|Jose|08:00|17:00|05/09/2022
10002|Mata|Christian|08:00|17:00|05/09/2022
10003|San Jose|Brad |08:00|17:00|05/09/2022
10004|Salcedo|Anthony|08:00|17:00|05/09/2022
10005|Romualdez|Alice|08:15|17:00|05/09/2022
10006|Atienza|Rosie |08:00|17:00|05/09/2022
10007|Farala|Martha|08:00|17:00|05/09/2022
10008|Martinez|Leila|08:00|17:00|05/09/2022
10009|San Jose|Allison |08:00|17:00|05/09/2022
10010|Rosario|Cydney |08:00|17:00|05/09/2022
10011|Lopez|Josie |10:30|17:00|05/09/2022
10012|De Leon|Selena |08:00|17:00|05/09/2022
10013|Romualdez|Fredrick |08:00|17:00|05/09/2022
10014|Bautista|Mark |08:00|17:00|05/09/2022
